barcode,product_name,brand,category,net_quantity,packaging,labels_certifications,manufacturing_place,ingredients,nutriscore,nova_group,image_front_url,image_nutrition_url,image_ingredients_url,has_image,data_quality
8901063029255,Jimjam 57g (57),Britannia,Biscuits,57 g,,Green Dot India,,"REFINED WHEAT FLOUR (MAIDA), SUGAR (24%), REFINED PALM OIL & INTERESTERIFIED VEGETABLE FAT, INVERT SUGAR SYRUP, DEXTROSE, MILK PRODUCTS (MILK SOLIDS & SWEETENED CONDENSED MILK), EDIBLE MAIZE STARCH, MALTODEXTRIN, FRUIT PRODUCTS (0.7%) (APPLE JUICE CONCENTRATE, BANANA POWDER & PLUM JUICE CONCENTRATE), IODISED SALT, EMULSIFIERS [322(i) & 471], RAISING AGENTS [503(ii) & 500(ii)], NATURE IDENTICAL AND ARTIFICIAL (MIXED FRUIT, VANILLA & BUTTER) FLAVOURING SUBSTANCES, ACIDITY REGULATORS (330 & 331), GELLING AGENT (440) AND COLOUR (122). (Numbers in brackets as per International Numbering System) CONTAINS WHEAT, MILK AND SOYA. ydrate-73g, of which Total 31 Total Fat-19g/141 no unsaturated fatty acids-7.29 fss Lic. No. 10015 100120260N For Mfg unit address & Lic. No. read the last two characters of CWALIOR 474005, MADHYA PRADESH Lic. No. the &quot;Lot No. and see address panel. 06-1.8. MANGHARAM FOODS 01129",d,4,https://images.openfoodfacts.org/images/products/890/106/302/9255/front_en.9.400.jpg,,,yes,6/8
8901491100519,Kurkure,Kurkure,"Crisps, Namkeen",78 g,Plastic,Vegetarian,India,"Cereal Products (66%) (Rice Meal (43.5%), Corn Meal (23%)), Edible Vegetable Oil (Palmolein),*Seasoning (~Spices and Condiments, lodised Salt, Sugar, Flavour (Natural and Nature Identical Flavouring Substances), Black Salt, Tomato Powder, Acidity Regulators (330, 296, 334), Colour(160c), Maltodextrin) , Gram Meal (0.5%).",e,4,https://images.openfoodfacts.org/images/products/890/149/110/0519/front_en.48.400.jpg,,,yes,8/8
8901262010016,Amul Pasteurized Butter,Amul,Butters,100.0 g,Paper,Green Dot India,Gujarat india,"Butter, common salt. CONTAINS PERMITTED NATURAL COLOUR [ANNATTO]",e,4,https://images.openfoodfacts.org/images/products/890/126/201/0016/front_en.53.400.jpg,,,yes,8/8
8901764042904,Thumsup,Coca-Cola,Sodas,1 litter,,,,,e,,https://images.openfoodfacts.org/images/products/890/176/404/2904/front_en.6.400.jpg,,,yes,4/8
8901262200196,Amul Masti Spiced Buttermilk 200ml,Amul,"Beverages, Milks, Buttermilks",200mL,plastic bottle,"No preservatives, Green Dot India",,"Milk solids, water, iodised salt, spices & condiments (1%), stabilizer [460(i)]. Allergen Information: Contains milk.",c,4,https://images.openfoodfacts.org/images/products/890/126/220/0196/front_en.54.400.jpg,,,yes,7/8
8906010502119,Chataka pataka,Balaji,"Crisps, Chataka pataka",25,,,,,d,,https://images.openfoodfacts.org/images/products/890/601/050/2119/front_en.7.400.jpg,,,yes,4/8
8901764032707,Sprite,Coca Cola,"Artificially sweetened beverages, Sodas, Still fruit soft drink with reduced sugar and with 10-50% of fruit juice, Sweetened beverages",600 ml,plastic bottle,"10% less sugar, Green Dot India",,"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330,331(ii)), PRESSERVATIVE (211) & SWEETENER (960).",e,4,https://images.openfoodfacts.org/images/products/890/176/403/2707/front_en.20.400.jpg,,,yes,7/8
8906010502294,Flaming hot nachos,,Crisps,,,,,"CORN (74%), EDIBLE VEGETABLE OIL (PALMOLEIN, RICE BRAN), EDIBLE COMMON SALT, CHILLI POWDER, BLACK SALT, MALTODEXTRIN, DEHYDRATED VEGETABLE POWDER (GARLIC, ONION, LEMON), HYDROLYZED VEGETABLE PROTEIN (SOYA), ACIDITY REGULATOR (INS 330), FLAVOUR ENHANCER (INS 627, INS 631), YEAST EXTRACT, OREGANO, ANTICAKING AGENT (INS 551), NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCES (CHILLI, LEMON), PAPRIKA EXTRACT (INS 160C).",e,4,https://images.openfoodfacts.org/images/products/890/601/050/2294/front_en.8.400.jpg,,,yes,3/8
8906010500078,Balaji Farali Chivda,Balaji Namkeen,Snacks,22g,,Green Dot India,,"POTATO (75%) ROASTED PEANUT (12%), EDIBLE VEGETABLE OIL, SUGAR, ROCK SALT, SPICES & CONDIMENTS (CHILLI, TURMERIC, DRY MANGO, CLOVE, CAROM SEED, CARDAMOM NUTMEG, MACE, BAY LEAVES).",d,3,https://images.openfoodfacts.org/images/products/890/601/050/0078/front_en.5.400.jpg,,,yes,6/8
8901491366052,Puffcorn,Kurkure,"Crackers (Appetizers), Corn chips, Puffed salty snacks",58 g,,,,"Cereal Products (67%) (Corn Meal (53%). Rice Meal), Edible Vegetable Oil (Palmolein), ++Seasoning (Sugar, lodised Salt, Maltodextrin, &quot;Spices and Condiments, Milk Solids, Cheese, Salt Substitute (Potassium Chloride), Flavour (Natural and Nature Identical Flavouring Substances), Flavour Enhancers (627, 631), Acidity Regulators (296, 330), Emulsifying & Stabilising Agent (331 (iii), 471, 327), Gram Meal, Firming Agent (170(i)), lodised Salt. **As flavouring agent. ~Contains Onion and Garlic ALLERGEN ADVICE: Contains Soy, Milk, Wheat",e,4,https://images.openfoodfacts.org/images/products/890/149/136/6052/front_en.32.400.jpg,,,yes,5/8
