barcode,product_name,brand,category,net_quantity,packaging,labels_certifications,manufacturing_place,ingredients,nutriscore,nova_group,image_front_url,image_nutrition_url,image_ingredients_url,has_image,data_quality
8904004400243,Soya Sticks,Haldiram's,,,,,,,unknown,,https://images.openfoodfacts.org/images/products/890/400/440/0243/front_en.5.400.jpg,,,yes,2/8
8901063162464,BRITANNIA marie GOLD,Britannia,Biscuits,68 g,,Green Dot India,,Refin,,,https://images.openfoodfacts.org/images/products/890/106/316/2464/front_en.10.400.jpg,,,yes,6/8
8901491365703,Puffcorn,Kurkure,Corn chips,28 10rs,Plastic,"100% natural, Green Dot India",,"INREDIENTS: Cereal Products (67%) (Corn Meal (53%), Rice Meal (14%)), Edible Vegetable Oil (Palmolein), *Seasoning (Sugar, lodised Salt, Maltodextrin, Spices and Condiments, Milk Solids, Cheese, Salt Replacer (Potassium Chloride), Flavour (Natural and Nature Identical Flavouring Substances), Flavour Enhancers (627, 631), Acidity Regulators (296, 330), Emulsifying & Stabilising Agent ((331(iii), 471, 327)), Gram Meal (3.6%), Calcium Carbonate (170(i)), lodised Salt. *As flavouring agent. Contains Onion and Garlic ALLERGEN ADVICE: Contains Soy, Milk, Wheat",e,4,https://images.openfoodfacts.org/images/products/890/149/136/5703/front_en.30.400.jpg,,,yes,7/8
19017198,Parle tostea 1kg,"Parle, Simply Good, Wholesome","Biscuits, 100g wheat per amount",22g,Plastic,"No cholesterol, Simply Good","Accra, Baatsona, Ghana.","FARINE DE BLE, HUILE VEGETALE ČOMESTĪBLE, LEVURE, EXTRAIT DE MALT, SEL, EMULSIFIANT D'ORIGINE VEGÉTALE (ESTERS D'ACIDE DIACETYLTARTRIQUE DE MONO ET DIGCEDIDES (E 47 META BISULFITE DE SODIUM (E 223] ET AMYLASE (E 11C 2. AP MP GH",unknown,,https://images.openfoodfacts.org/images/products/000/001/901/7198/front_en.4.400.jpg,,,yes,8/8
8901719100369,Parle Bis Hide &seek,Parle,Biscuits,33 g,,Green Dot India,,"REFINED WHEAT FLOUR (MAIDA), SUGAR, CHOCO CHIPS (17.3%) ISUGAR, EDIBLE VEGETABLE FAT (HYDROGENATED OILS), COCOA SOLIDS, DEXTROSE, EMULSIFIER OF VEGETABLE ORIGIN (SOY LECITHIN) AND ARTIFICIAL FLAVOURING SUBSTANCES (VANILLA)], REFINED PALM DIL, CHOCOLATE (5.8%) [SUGAR, COCOA SOLIDS, COCOA BUTTER, DEXTROSE EMULSIFIER OF EGETABLE ORIGIN (SOY LECITHIN) AND ARTIFICIAL FLAVOURING SUBSTANCES-VANILLAJ. VERT SOGAR SYRUP, RAISING AGENTS (503(1), 500], COCOA SOLIDS, IODISED SALT AND JULSIFIER OF VEGETABLE ORIGIN [472e]. VIAINS ADDED FLAVOUR (ARTIFICIAL FLAVOURING SUBSTANCES-VANILLA) TAINS: WHEAT. SOY MEADE OONOTION MODE",d,4,https://images.openfoodfacts.org/images/products/890/171/910/0369/front_en.18.400.jpg,,,yes,6/8
8906010503550,Wafers,,Gaufrettes,,,,,"POTATO (82%), EDIBLE VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWINGS: PALMOLEIN, GROUNDNUT), SEASONING [MILK SOLIDS (WHEY 0.7%), SUGAR, EDIBLE COMMON SALT, ONION POWDER (0.3%), CHEESE POWDER (0.2%), HERBS (CHIVES, PARSLEY), ACIDITY REGULATOR (INS 330), YEAST EXTRACT POWDER, ANTICAKING AGENT (INS 551), HYDROLYZED VEGETABLE POWDER (SOYA), FLAVOUR ENHANCER (INS 627, INS 631), FLAVOUR (NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCES))  **AS FLAVOURING & SEASONING AGENT  POTATO WAFERS  READY-TO-EAT SAVOURIES | PROPRIETARY FOOD | INDIAN SNACKS & SAVOURIES  ALLERGEN ADVICE: CONTAINS MILK SOLIDS, CHEESE POWDER & SOY. MAY CONTAIN PEANUT  PRODUCT OF INDIA",e,4,https://images.openfoodfacts.org/images/products/890/601/050/3550/front_fr.9.400.jpg,,,yes,3/8
8902579002299,Smoodh chocolate,Parle Agro,Chocolate milks,80ml,Paper box,,India,"WATER, DOUBLE TONED MILK (40%), SUGAR, WHEY POWDER, MILK SOLIDS, COCOA SOLIDS (1%), MALT EXTRACT, EMULSIFIERS AND STABILIZERS [INS 460(1), INS 471, INS 466, INS 407, INS 340, INS 452], NATURE IDENTICAL FLAVOURING SUBSTANCE (CHOCOLATE) AND IODISED SALT. (INS-INTERNATIONAL NUMBERING SYSTEM) ALLERGEN INFORMATION: CONTAINS MILK, BARLEY, WHEAT AND MILLET: NÚTRITIONAL INFORMATION (TYPICAL VALUES) PER SERVE",e,4,https://images.openfoodfacts.org/images/products/890/257/900/2299/front_en.14.400.jpg,,,yes,7/8
8901058005080,Munch Max,Nestlé,"Biscuits, Candy chocolate bars",38.5 g,,Green Dot India,,"Sugar, Refined Wheat Flour (Maida), Hydrogenated vegetable fats, Fractionated vegetable fat, Milk solids. Cocoa solids (3.9%), Emulsifier (Soya lecithin), Raising agent (500(ii)), Yeast, lodised salt, Flour treatment agent (516), Artificial (Vanilla) flavouring substance and Nature-Identical flavouring substance.",e,4,https://images.openfoodfacts.org/images/products/890/105/800/5080/front_en.7.400.jpg,,,yes,6/8
8901058009729,Masala Veg Atta Noodles,Maggi,Instant noodles,72.5g,,Green Dot India,,"Noodles: Wheat Flour (Atta) (84.2%), (not more than) Palm oil, Iodized salt, Wheat gluten, Thickeners (508&412), Humectants (451(i)&452(i)) and Acidity regulators (501(i) & 500 (i)). Masala TASTEMAKER: Dehydrated &quot;Guideline Daily Amounts of an Vegetables (22%) (Carrot bits (12%), Green peas",unknown,4,https://images.openfoodfacts.org/images/products/890/105/800/9729/front_en.19.400.jpg,,,yes,6/8
8902080001828,Pepsi Zero Sugar,PepsiCo Inc.,"Diet cola soft drink, Cold Drink",400ml,,,,"Carbonated water,color (150d),acidity regulators(338,330), sweeteners(955,950),preservative (211), caffeine (13mg/100g), flavour (natural flavouring substance), stabilizer (436)",c,4,https://images.openfoodfacts.org/images/products/890/208/000/1828/front_en.6.400.jpg,,,yes,5/8
